name,1,2,3,4,5,6,7,8,9
A01:01,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062
A01:02,-9.41755910734839,-9.41755910734839,-9.41755910734839,-9.41755910734839,-9.41755910734839,-9.41755910734839,-9.41755910734839,-9.41755910734839,-9.41755910734839
A01:03,-8.55228803643352,-8.55228803643352,-8.55228803643352,-8.55228803643352,-8.55228803643352,-8.55228803643352,-8.55228803643352,-8.55228803643352,-8.55228803643352
A01:06,-7.6670847497524,-7.6670847497524,-7.6670847497524,-7.6670847497524,-7.6670847497524,-7.6670847497524,-7.6670847497524,-7.6670847497524,-7.6670847497524
A01:07,-5.54294090571674,-5.54294090571674,-5.54294090571674,-5.54294090571674,-5.54294090571674,-5.54294090571674,-5.54294090571674,-5.54294090571674,-5.54294090571674
A01:08,-9.85547668843969,-9.85547668843969,-9.85547668843969,-9.85547668843969,-9.85547668843969,-9.85547668843969,-9.85547668843969,-9.85547668843969,-9.85547668843969
A01:09,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062
A01:10,-9.08881472582287,-9.08881472582287,-9.08881472582287,-9.08881472582287,-9.08881472582287,-9.08881472582287,-9.08881472582287,-9.08881472582287,-9.08881472582287
A01:100,-8.45717373627396,-8.45717373627396,-8.45717373627396,-8.45717373627396,-8.45717373627396,-8.45717373627396,-8.45717373627396,-8.45717373627396,-8.45717373627396
A01:101,-10.1233537284723,-10.1233537284723,-10.1233537284723,-10.1233537284723,-10.1233537284723,-10.1233537284723,-10.1233537284723,-10.1233537284723,-10.1233537284723
A01:102,-10.4183123998302,-10.4183123998302,-10.4183123998302,-10.4183123998302,-10.4183123998302,-10.4183123998302,-10.4183123998302,-10.4183123998302,-10.4183123998302
A01:103,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062
A01:104,-7.58780553525679,-7.58780553525679,-7.58780553525679,-7.58780553525679,-7.58780553525679,-7.58780553525679,-7.58780553525679,-7.58780553525679,-7.58780553525679
A01:105,-10.3769814992984,-10.3769814992984,-10.3769814992984,-10.3769814992984,-10.3769814992984,-10.3769814992984,-10.3769814992984,-10.3769814992984,-10.3769814992984
A01:106,-10.3611932321181,-10.3611932321181,-10.3611932321181,-10.3611932321181,-10.3611932321181,-10.3611932321181,-10.3611932321181,-10.3611932321181,-10.3611932321181
A01:107,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062
A01:108,-7.57485220412132,-7.57485220412132,-7.57485220412132,-7.57485220412132,-7.57485220412132,-7.57485220412132,-7.57485220412132,-7.57485220412132,-7.57485220412132
A01:109,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062
A01:110,-11.1964829967292,-11.1964829967292,-11.1964829967292,-11.1964829967292,-11.1964829967292,-11.1964829967292,-11.1964829967292,-11.1964829967292,-11.1964829967292
A01:111,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062
A01:112,-9.58719755511417,-9.58719755511417,-9.58719755511417,-9.58719755511417,-9.58719755511417,-9.58719755511417,-9.58719755511417,-9.58719755511417,-9.58719755511417
A01:113,-9.79840652269451,-9.79840652269451,-9.79840652269451,-9.79840652269451,-9.79840652269451,-9.79840652269451,-9.79840652269451,-9.79840652269451,-9.79840652269451
A01:114,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062
A01:115,-10.5109430839332,-10.5109430839332,-10.5109430839332,-10.5109430839332,-10.5109430839332,-10.5109430839332,-10.5109430839332,-10.5109430839332,-10.5109430839332
A01:116,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062,-9.91781855267062
